scientific_name;french_name;group_fr;IUCN;english_name;group_en;Guinea;Liberia;Cote_Ivoire;inaturalist
Neotragus pygmaeus;Antilope royale;Bovide;LC;Royal antelope;Bovid;n;y;y;https://www.inaturalist.org/taxa/42366
Orycteropus afer;Orycterope du Cap;Tubulidente;LC;Aardvark;Aardvark;y;n;n;https://www.inaturalist.org/taxa/47062
Ovis aries;Mouton;Domestique;NA;Sheep;Domestic;y;y;y;https://www.inaturalist.org/taxa/121578
Pan troglodytes verus;Chimpanze;Primate;CR;Western chimpanzee;Primate;y;y;y;https://www.inaturalist.org/taxa/147739
Panthera leo;Lion;Carnivore;VU;Lion;Carnivore;y;n;n;https://www.inaturalist.org/taxa/41964
Panthera pardus;Leopard;Carnivore;VU;Leopard;Carnivore;y;y;y;https://www.inaturalist.org/taxa/41963
Papillon sp.;Papillon sp.;Autre;NA;Unidentified butterfly;Other;y;y;y;
Papio papio;Babouin de Guinee;Primate;NT;Guinea baboon;Primate;y;n;n;https://www.inaturalist.org/taxa/74833
Paraxerus poensis;Ecureuil de Fernando Po;Rongeur;LC;Green bush squirrel;Rodent;y;y;y;https://www.inaturalist.org/taxa/46112
Phacochoerus africanus;Phacochere commun;Suide;LC;Common warthog;Suid;y;n;n;https://www.inaturalist.org/taxa/42122
Phataginus tetradactyla;Pangolin a longue queue;Pangolin;VU;Black-bellied pangolin;Pangolin;y;y;y;https://www.inaturalist.org/taxa/565412
Phataginus tricuspis;Pangolin a petites ecailles;Pangolin;EN;White-bellied pangolin;Pangolin;y;y;y;https://www.inaturalist.org/taxa/74866
Philantomba maxwellii;Cephalophe de Maxwell;Bovide;LC;Maxwell's duiker;Bovid;y;y;y;https://www.inaturalist.org/taxa/74869
Piliocolobus badius badius;Colobe bai d'Afrique occidentale;Primate;EN;Bay colobus;Primate;n;y;y;https://www.inaturalist.org/taxa/1368500
Poiana leightoni;Linsang de Leighton;Carnivore;VU;West african oyan;Carnivore;n;y;y;https://www.inaturalist.org/taxa/74935
Potamochoerus porcus;Potamochere roux;Suide;LC;Red river hog;Suid;y;y;y;https://www.inaturalist.org/taxa/42139
Procavia capensis;Daman des rochers;Hyracoide;LC;Rock hyrax;Hyrax;y;y;y;https://www.inaturalist.org/taxa/43086
Procolobus verus;Colobe vert olive;Primate;VU;Olive colobus;Primate;n;y;y;https://www.inaturalist.org/taxa/43512
Protoxerus aubinnii;Ecureuil d'Aubin;Rongeur;NT;Slender-tailed squirrel;Rodent;n;y;y;https://www.inaturalist.org/taxa/46201
Protoxerus stangeri;Ecureuil de Stanger;Rongeur;LC;Forest giant squirrel;Rodent;y;y;y;https://www.inaturalist.org/taxa/46202
Reptile sp.;Reptile sp.;Reptile;NA;Reptile sp.;Reptile;y;y;y;
Rongeur sp.;Rongeur sp.;Rongeur;NA;Rodent sp.;Rodent;y;y;y;
Serpent sp.;Serpent sp.;Reptile;NA;Snake sp.;Reptile;y;y;y;
Singe sp.;Singe sp.;Primate;NA;Monkey sp.;Primate;y;y;y;
Smutsia gigantea;Pangolin geant;Pangolin;EN;Giant ground pangolin;Pangolin;y;y;y;https://www.inaturalist.org/taxa/75082
Sylvicapra grimmia;Cephalophe de Grimm;Bovide;LC;Common duiker;Bovid;y;n;n;https://www.inaturalist.org/taxa/42424
Syncerus caffer nanus;Buffle nain;Bovide;NT;African buffalo;Bovid;y;y;y;https://www.inaturalist.org/taxa/199289
Thryonomys swinderianus;Grand aulacode;Rongeur;LC;Greater cane rat;Rodent;y;y;y;https://www.inaturalist.org/taxa/46279
Tortue sp.;Tortue sp.;Reptile;NA;Unidentified tortoise;Reptile;y;y;y;
Tragelaphus eurycerus;Bongo;Bovide;NT;Bongo;Bovid;n;y;y;https://www.inaturalist.org/taxa/42344
Tragelaphus scriptus;Guib harnache;Bovide;LC;Bushbuck;Bovid;y;y;y;https://www.inaturalist.org/taxa/42341
Varanus exanthematicus;Varan des savanes;Reptile;LC;Savanna monitor;Reptile;y;n;n;https://www.inaturalist.org/taxa/39456
Varanus niloticus;Varan du Nil;Reptile;LC;Nile monitor;Reptile;y;y;y;https://www.inaturalist.org/taxa/71085
Varanus sp.;Varan sp.;Reptile;NA;Monitor sp.;Reptile;y;y;y;
Xerus erythropus;Ecureuil fouisseur;Rongeur;LC;Striped ground squirrel;Rodent;y;y;y;https://www.inaturalist.org/taxa/871611
Accipiter badius;Epervier shikra;Oiseau;LC;Shikra;Bird;y;y;y;https://www.inaturalist.org/taxa/1583224
Accipiter erythropus;Epervier de Hartlaub;Oiseau;LC;Red-legged sparrowhawk;Bird;y;y;y;https://www.inaturalist.org/taxa/1581891
Accipiter melanoleucus;Autour noir;Oiseau;LC;Black sparrowhawk;Bird;y;y;y;https://www.inaturalist.org/taxa/1578999
Accipiter ovampensis;Epervier des Ovampos;Oiseau;LC;Ovambo sparrowhawk;Bird;y;n;n;https://www.inaturalist.org/taxa/5133
Accipitridae sp.;Accipitride sp.;Oiseau;LC;Accipitridae sp.;Bird;y;y;y;
Alethe diademata;Alethe a huppe rousse;Oiseau;LC;White-tailed alethe;Bird;y;y;y;https://www.inaturalist.org/taxa/144210
Anthus sp.;Pipit sp.;Oiseau;NA;Pipit sp.;Bird;y;y;y;
Apaloderma narina;Trogon narina;Oiseau;LC;Narina trogon;Bird;y;y;y;https://www.inaturalist.org/taxa/20836
Ardea sp.;Heron sp.;Oiseau;NA;Heron sp.;Bird;y;y;y;
Batis senegalensis;Pririt du Senegal;Oiseau;LC;Senegal batis;Bird;y;n;y;https://www.inaturalist.org/taxa/8394
Bitis arietans;Vipere heurtante;Reptile;LC;Puff adder;Bird;y;y;y;https://www.inaturalist.org/taxa/30851
Bleda canicapillus;Bulbul fourmilier;Oiseau;LC;Grey-headed bristlebill;Bird;y;y;y;https://www.inaturalist.org/taxa/72560
Bostrychia hagedash;Ibis hagedash;Oiseau;LC;Hadada ibis;Bird;y;y;y;https://www.inaturalist.org/taxa/3743
Bucerotidae sp.;Calao sp.;Oiseau;NA;Hornbill sp.;Bird;y;y;y;
Bucorvus abyssinicus;Bucorve d'Abyssinie;Oiseau;VU;Absyssinian ground hornbill;Bird;y;n;n;https://www.inaturalist.org/taxa/5437
Bubulcus ibis;Heron garde-boeuf;Oiseau;LC;Cattle egret;Bird;y;y;y;https://www.inaturalist.org/taxa/411086
Camaroptera brachyura;Camaroptere a tete grise;Oiseau;LC;Bleating camaroptera;Bird;y;y;y;https://www.inaturalist.org/taxa/979641
Camaroptera brevicaudata;Camaroptere a dos gris;Oiseau;LC;Grey-backed camaroptera;Bird;y;y;y;https://www.inaturalist.org/taxa/133712
Canirallus oculeus;Rale a gorge grise;Oiseau;LC;Grey-throated rail;Bird;y;y;y;https://www.inaturalist.org/taxa/464
Caprimulgidae sp.;Engoulevent sp.;Oiseau;NA;Nightjar sp.;Bird;y;y;y;
Caprimulgus longipennis;Engoulevent a balanciers;Oiseau;LC;Standard-winged nightjar;Bird;y;y;y;https://www.inaturalist.org/taxa/339629
Centropus leucogaster;Coucal a ventre blanc;Oiseau;LC;Black-throated coucal;Bird;y;y;y;https://www.inaturalist.org/taxa/1638
Centropus senegalensis;Coucal du Senegal;Oiseau;LC;Senegal coucal;Bird;y;y;y;https://www.inaturalist.org/taxa/1670
Chamaetylas poliocephala;Alethe a poitrine brune;Oiseau;LC;Brown-chested alethe;Bird;n;y;y;https://www.inaturalist.org/taxa/793244
Chlorocichla simplex;Bulbul modeste;Oiseau;LC;Simple greenbul;Bird;y;y;y;https://www.inaturalist.org/taxa/14686
Cinnyricinclus leucogaster;Spreo amethyste;Oiseau;LC;Violet-backed starling;Bird;y;n;n;https://www.inaturalist.org/taxa/15030
Circaetus beaudouini;Circaete de Beaudouin;Oiseau;VU;Beaudouin's snake-eagle;Bird;y;n;n;https://www.inaturalist.org/taxa/72725
Circus macrourus;Busard pale;Oiseau;NT;Pallid harrier;Bird;y;y;y;https://www.inaturalist.org/taxa/5178
Cisticola erythrops;Cisticole a face rousse;Oiseau;LC;Red-faced cisticola;Bird;y;y;y;https://www.inaturalist.org/taxa/7653
Cisticola eximius;Cisticole a dos noir;Oiseau;LC;Black-backed cisticola;Bird;y;n;n;https://www.inaturalist.org/taxa/7663
Clamator levaillantii;Coucou de Levaillant;Oiseau;LC;Levaillant's cuckoo;Bird;y;y;y;https://www.inaturalist.org/taxa/1793
Colombe sp.;Colombe sp.;Oiseau;NA;Dove sp.;Bird;y;y;y;
Corythaeola cristata;Touraco geant;Oiseau;LC;Great blue turaco;Bird;y;y;y;https://www.inaturalist.org/taxa/7250
Cossypha albicapillus;Cossyphe a calotte blanche;Oiseau;LC;White-crowned robin-chat;Bird;y;n;n;https://www.inaturalist.org/taxa/367670
Cossypha cyanocampter;Cossyphe a ailes bleues;Oiseau;LC;Blue-shouldered robin-chat;Bird;y;y;y;https://www.inaturalist.org/taxa/12789
Cossypha niveicapilla;Cossyphe a calotte neigeuse;Oiseau;LC;Snowy-crowned robin-chat;Bird;y;y;y;https://www.inaturalist.org/taxa/12785
Cossypha sp.;Cossyphe sp.;Oiseau;NA;Robin-chat sp.;Bird;y;y;y;
Criniger calurus;Bulbul a barbe blanche;Oiseau;LC;Red-tailed greenbul;Bird;y;y;y;https://www.inaturalist.org/taxa/14647
Criniger olivaceus;Bulbul a barbe jaune;Oiseau;VU;Yellow-bearded greenbul;Bird;n;y;y;https://www.inaturalist.org/taxa/14650
Cyanomitra olivacea;Souimanga olivatre de l'Ouest;Oiseau;LC;Olive sunbird;Bird;y;y;y;https://www.inaturalist.org/taxa/145136
Dicrurus atripennis;Drongo de foret;Oiseau;LC;Shining drongo;Bird;y;y;y;https://www.inaturalist.org/taxa/8273
Dicrurus sp.;Drongo sp.;Oiseau;NA;Drongo sp.;Bird;y;y;y;
Erythrocercus mccallii;Erythrocerque a tete rousse;Oiseau;LC;Chestnut-capped flycatcher;Bird;y;y;y;https://www.inaturalist.org/taxa/8197
Euplectes ardens;Euplecte veuve-noire;Oiseau;LC;Red-collared widowbird;Bird;y;y;y;https://www.inaturalist.org/taxa/13978
Ficedula hypoleuca;Gobemouche noir;Oiseau;LC;European pied flycatcher;Bird;y;y;y;https://www.inaturalist.org/taxa/204512
Euschistospiza dybowskii;Senegali a ventre noir;Oiseau;LC;Dybowski's twinspot;Bird;y;n;n;https://www.inaturalist.org/taxa/14140
Francolin sp.;Francolin sp.;Oiseau;NA;Francolin sp.;Bird;y;y;y;
Glaucestrilda coerulescens;Astrild queue-de-vinaigre;Oiseau;LC;Lavender waxbill;Bird;y;n;n;https://www.inaturalist.org/taxa/1289375
Gypohierax angolensis;Palmiste africain;Oiseau;LC;Palm-nut vulture;Bird;y;y;y;https://www.inaturalist.org/taxa/5418
Halcyon leucocephala;Martin-chasseur a tete grise;Oiseau;LC;Grey-headed kingfisher;Bird;y;y;y;https://www.inaturalist.org/taxa/2328
Halcyon malimbica;Martin-chasseur a poitrine bleue;Oiseau;LC;Blue-breasted kingfisher;Bird;y;y;y;https://www.inaturalist.org/taxa/2341
Halcyoninae sp.;Martin-chasseur sp.;Oiseau;NA;Kingfisher sp.;Bird;y;y;y;
Hedydipna collaris;Souimanga a collier;Oiseau;LC;Collared sunbird;Bird;y;y;y;https://www.inaturalist.org/taxa/145122
Hibou sp.;Hibou sp.;Oiseau;NA;Owl sp.;Bird;y;y;y;
Himantornis haematopus;Rale a pieds rouges;Oiseau;LC;Nkulengu rail;Bird;n;y;y;https://www.inaturalist.org/taxa/567
Hyliota violacea;Hyliote a dos vert;Oiseau;LC;Violet-backed hyliota;Bird;n;y;y;https://www.inaturalist.org/taxa/116927
Ixonotus guttatus;Bulbul tachete;Oiseau;LC;Spotted greenbul;Bird;n;y;y;https://www.inaturalist.org/taxa/14672
Kaupifalco monogrammicus;Autour unibande;Oiseau;LC;Lizard buzzard;Bird;y;y;y;https://www.inaturalist.org/taxa/5430
Lagonosticta rubricata;Amarante fonce;Oiseau;LC;African firefinch;Bird;y;y;y;https://www.inaturalist.org/taxa/14053
Lamprotornis caudatus;Choucador a longue queue;Oiseau;LC;Long-tailed glossy starling;Bird;y;n;n;https://www.inaturalist.org/taxa/14928
Lamprotornis chloropterus;Choucador de Swainson;Oiseau;LC;Lesser blue-eared starling;Bird;y;n;n;https://www.inaturalist.org/taxa/547211
Laniarius barbarus;Gonolek de Barbarie;Oiseau;LC;Yellow-crowned gonolek;Bird;y;n;n;https://www.inaturalist.org/taxa/8209
Laniarius turatii;Gonolek de Turati;Oiseau;LC;Turati's boubou;Bird;y;n;n;https://www.inaturalist.org/taxa/8210
Lophoceros nasutus;Calao a bec noir;Oiseau;LC;African grey hornbill;Bird;y;n;n;https://www.inaturalist.org/taxa/512166
Lophoceros semifasciatus;Calao brevibande;Oiseau;LC;West African pied hornbill;Bird;y;y;y;https://www.inaturalist.org/taxa/1505274
Malaconotus blanchoti;Gladiateur de Blanchot;Oiseau;LC;Grey-headed bushshrike;Bird;y;n;n;https://www.inaturalist.org/taxa/8257
Melaenornis edolioides;Gobemouche drongo;Oiseau;LC;Northern black-flycatcher;Bird;y;n;n;https://www.inaturalist.org/taxa/13188
Melocichla mentalis;Melocichle a moustaches;Oiseau;LC;Moustached grass-warbler;Bird;y;n;n;https://www.inaturalist.org/taxa/423554
Merops albicollis;Guepier a gorge blanche;Oiseau;LC;White-throated bee-eater;Bird;y;y;y;https://www.inaturalist.org/taxa/2240
Milvus migrans;Milan noir;Oiseau;LC;Black kite;Bird;y;y;y;https://www.inaturalist.org/taxa/5268
Muscicapa striata;Gobemouche gris;Oiseau;LC;Spotted flycatcher;Bird;y;y;y;https://www.inaturalist.org/taxa/12971
